[08:27:14] [main/INFO]: Loading Minecraft 1.16.4 with Fabric Loader 0.12.12
[08:27:14] [main/INFO]: Fabric is preparing JARs on first launch, this may take a few seconds...
[08:27:14] [main/INFO]: Loading 6 mods:
	- carpet 1.4.17
	- carpet-autocraftingtable 1.4.17
	- carpet-extra 1.4.16
	- fabricloader 0.12.12
	- java 17
	- minecraft 1.16.4
[08:27:14] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.4 Source=file:/srv/minecraft/libraries/net/fabricmc/sponge-mixin/0.10.7+mixin.0.8.4/sponge-mixin-0.10.7+mixin.0.8.4.jar Service=Knot/Fabric Env=SERVER
[08:27:20] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[08:27:20] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[08:27:20] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[08:27:20] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[08:27:20] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[08:27:20] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[08:27:20] [main/INFO]: Reloading ResourceManager: Default
[08:27:21] [Worker-Main-12/INFO]: Loaded 7 recipes
[08:27:21] [Worker-Main-12/INFO]: Loaded 927 advancements
[08:27:23] [Server thread/INFO]: Starting minecraft server version 1.16.4
[08:27:23] [Server thread/INFO]: Loading properties
[08:27:23] [Server thread/INFO]: Default game type: CREATIVE
[08:27:23] [Server thread/INFO]: Generating keypair
[08:27:23] [Server thread/INFO]: Starting Minecraft server on *:25565
[08:27:23] [Server thread/INFO]: Using epoll channel type
[08:27:23] [Server thread/INFO]: Preparing level "world"
[08:27:23] [Server thread/INFO]: [CM]: loaded setting autoCraftingTable as true from carpet.conf
[08:27:27] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[08:27:27] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[08:27:27] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[08:27:28] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[08:27:28] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[08:27:29] [Worker-Main-14/INFO]: Preparing spawn area: 1%
[08:27:29] [Worker-Main-9/INFO]: Preparing spawn area: 4%
[08:27:30] [Worker-Main-10/INFO]: Preparing spawn area: 6%
[08:27:30] [Worker-Main-11/INFO]: Preparing spawn area: 8%
[08:27:31] [Worker-Main-14/INFO]: Preparing spawn area: 10%
[08:27:31] [Worker-Main-12/INFO]: Preparing spawn area: 10%
[08:27:32] [Worker-Main-14/INFO]: Preparing spawn area: 15%
[08:27:32] [Worker-Main-10/INFO]: Preparing spawn area: 18%
[08:27:33] [Worker-Main-9/INFO]: Preparing spawn area: 22%
[08:27:33] [Worker-Main-8/INFO]: Preparing spawn area: 24%
[08:27:34] [Worker-Main-11/INFO]: Preparing spawn area: 28%
[08:27:34] [Worker-Main-13/INFO]: Preparing spawn area: 31%
[08:27:35] [Worker-Main-12/INFO]: Preparing spawn area: 34%
[08:27:35] [Worker-Main-12/INFO]: Preparing spawn area: 37%
[08:27:36] [Worker-Main-8/INFO]: Preparing spawn area: 40%
[08:27:36] [Worker-Main-13/INFO]: Preparing spawn area: 43%
[08:27:37] [Worker-Main-10/INFO]: Preparing spawn area: 46%
[08:27:37] [Worker-Main-10/INFO]: Preparing spawn area: 49%
[08:27:38] [Worker-Main-8/INFO]: Preparing spawn area: 53%
[08:27:38] [Worker-Main-8/INFO]: Preparing spawn area: 56%
[08:27:39] [Worker-Main-14/INFO]: Preparing spawn area: 58%
[08:27:39] [Worker-Main-9/INFO]: Preparing spawn area: 63%
[08:27:40] [Worker-Main-8/INFO]: Preparing spawn area: 66%
[08:27:40] [Worker-Main-9/INFO]: Preparing spawn area: 69%
[08:27:41] [Worker-Main-8/INFO]: Preparing spawn area: 72%
[08:27:41] [Worker-Main-8/INFO]: Preparing spawn area: 75%
[08:27:42] [Worker-Main-10/INFO]: Preparing spawn area: 79%
[08:27:42] [Worker-Main-8/INFO]: Preparing spawn area: 82%
[08:27:43] [Worker-Main-8/INFO]: Preparing spawn area: 85%
[08:27:43] [Worker-Main-8/INFO]: Preparing spawn area: 87%
[08:27:44] [Worker-Main-10/INFO]: Preparing spawn area: 90%
[08:27:44] [Worker-Main-11/INFO]: Preparing spawn area: 95%
[08:27:45] [Worker-Main-9/INFO]: Preparing spawn area: 98%
[08:27:45] [Server thread/INFO]: Time elapsed: 18179 ms
[08:27:45] [Server thread/INFO]: Done (21.820s)! For help, type "help"
